0	1
0.00173287	0.996546
0.00346574	0.993104
0.0051986	0.989674
0.00693147	0.986256
0.00866434	0.98285
0.0103972	0.979456
0.0121301	0.976073
0.0138629	0.972702
0.0155958	0.969342
0.0173287	0.965994
0.0190615	0.962658
0.0207944	0.959333
0.0225273	0.95602
0.0242602	0.952718
0.025993	0.949427
0.0277259	0.946148
0.0294588	0.942881
0.0311916	0.939624
0.0329245	0.936379
0.0346574	0.933145
0.0363902	0.929922
0.0381231	0.92671
0.039856	0.92351
0.0415888	0.92032
0.0433217	0.917141
0.0450546	0.913974
0.0467874	0.910817
0.0485203	0.907671
0.0502532	0.904537
0.051986	0.901412
0.0537189	0.898299
0.0554518	0.895197
0.0571846	0.892105
0.0589175	0.889024
0.0606504	0.885953
0.0623832	0.882893
0.0641161	0.879844
0.065849	0.876805
0.0675819	0.873777
0.0693147	0.870759
0.0710476	0.867752
0.0727805	0.864755
0.0745133	0.861768
0.0762462	0.858792
0.0779791	0.855826
0.0797119	0.85287
0.0814448	0.849924
0.0831777	0.846989
0.0849105	0.844064
0.0866434	0.841148
0.0883763	0.838243
0.0901091	0.835348
0.091842	0.832463
0.0935749	0.829588
0.0953077	0.826723
0.0970406	0.823867
0.0987735	0.821022
0.100506	0.818186
0.102239	0.815361
0.103972	0.812544
0.105705	0.809738
0.107438	0.806941
0.109171	0.804154
0.110904	0.801377
0.112636	0.798609
0.114369	0.795851
0.116102	0.793102
0.117835	0.790363
0.119568	0.787634
0.121301	0.784913
0.123034	0.782202
0.124766	0.779501
0.126499	0.776809
0.128232	0.774126
0.129965	0.771452
0.131698	0.768788
0.133431	0.766132
0.135164	0.763486
0.136897	0.760849
0.138629	0.758222
0.140362	0.755603
0.142095	0.752993
0.143828	0.750393
0.145561	0.747801
0.147294	0.745218
0.149027	0.742644
0.15076	0.740079
0.152492	0.737523
0.154225	0.734976
0.155958	0.732438
0.157691	0.729908
0.159424	0.727387
0.161157	0.724875
0.16289	0.722371
0.164622	0.719876
0.166355	0.71739
0.168088	0.714912
0.169821	0.712443
0.171554	0.709983
0.173287	0.707531
0.17502	0.705087
0.176753	0.702652
0.178485	0.700225
0.180218	0.697807
0.181951	0.695396
0.183684	0.692995
0.185417	0.690601
0.18715	0.688216
0.188883	0.685839
0.190615	0.68347
0.192348	0.68111
0.194081	0.678758
0.195814	0.676413
0.197547	0.674077
0.19928	0.671749
0.201013	0.669429
0.202746	0.667117
0.204478	0.664813
0.206211	0.662517
0.207944	0.660229
0.209677	0.657948
0.21141	0.655676
0.213143	0.653411
0.214876	0.651155
0.216608	0.648906
0.218341	0.646664
0.220074	0.644431
0.221807	0.642205
0.22354	0.639987
0.225273	0.637777
0.227006	0.635574
0.228739	0.633379
0.230471	0.631192
0.232204	0.629012
0.233937	0.626839
0.23567	0.624674
0.237403	0.622517
0.239136	0.620367
0.240869	0.618224
0.242602	0.616089
0.244334	0.613961
0.246067	0.61184
0.2478	0.609727
0.249533	0.607621
0.251266	0.605523
0.252999	0.603432
0.254732	0.601347
0.256464	0.599271
0.258197	0.597201
0.25993	0.595138
0.261663	0.593083
0.263396	0.591034
0.265129	0.588993
0.266862	0.586959
0.268595	0.584932
0.270327	0.582911
0.27206	0.580898
0.273793	0.578892
0.275526	0.576893
0.277259	0.5749
0.278992	0.572914
0.280725	0.570936
0.282457	0.568964
0.28419	0.566999
0.285923	0.565041
0.287656	0.563089
0.289389	0.561144
0.291122	0.559206
0.292855	0.557275
0.294588	0.55535
0.29632	0.553432
0.298053	0.551521
0.299786	0.549616
0.301519	0.547718
0.303252	0.545826
0.304985	0.543941
0.306718	0.542062
0.30845	0.54019
0.310183	0.538324
0.311916	0.536465
0.313649	0.534612
0.315382	0.532766
0.317115	0.530926
0.318848	0.529092
0.320581	0.527265
0.322313	0.525444
0.324046	0.523629
0.325779	0.52182
0.327512	0.520018
0.329245	0.518222
0.330978	0.516432
0.332711	0.514649
0.334444	0.512871
0.336176	0.5111
0.337909	0.509335
0.339642	0.507575
0.341375	0.505822
0.343108	0.504075
0.344841	0.502334
0.346574	0.5006
0.348306	0.498871
0.350039	0.497148
0.351772	0.495431
0.353505	0.493719
0.355238	0.492014
0.356971	0.490315
0.358704	0.488622
0.360437	0.486934
0.362169	0.485252
0.363902	0.483576
0.365635	0.481906
0.367368	0.480242
0.369101	0.478583
0.370834	0.47693
0.372567	0.475283
0.374299	0.473641
0.376032	0.472006
0.377765	0.470375
0.379498	0.468751
0.381231	0.467132
0.382964	0.465518
0.384697	0.463911
0.38643	0.462308
0.388162	0.460712
0.389895	0.459121
0.391628	0.457535
0.393361	0.455955
0.395094	0.45438
0.396827	0.452811
0.39856	0.451247
0.400292	0.449688
0.402025	0.448135
0.403758	0.446587
0.405491	0.445045
0.407224	0.443508
0.408957	0.441976
0.41069	0.44045
0.412423	0.438928
0.414155	0.437412
0.415888	0.435902
0.417621	0.434396
0.419354	0.432896
0.421087	0.431401
0.42282	0.429911
0.424553	0.428426
0.426286	0.426946
0.428018	0.425472
0.429751	0.424002
0.431484	0.422538
0.433217	0.421078
0.43495	0.419624
0.436683	0.418175
0.438416	0.416731
0.440148	0.415291
0.441881	0.413857
0.443614	0.412428
0.445347	0.411003
0.44708	0.409584
0.448813	0.408169
0.450546	0.406759
0.452279	0.405355
0.454011	0.403955
0.455744	0.402559
0.457477	0.401169
0.45921	0.399783
0.460943	0.398403
0.462676	0.397027
0.464409	0.395655
0.466141	0.394289
0.467874	0.392927
0.469607	0.39157
0.47134	0.390218
0.473073	0.38887
0.474806	0.387527
